DATE,GDPC1,GDPPOT
1996-10-01,11219.238,11217.55080133082
1997-01-01,11291.665,11315.116073823909
1997-04-01,11479.33,11417.51480091594
1997-07-01,11622.911,11525.073515106187
1997-10-01,11722.722,11636.52493591174
1998-01-01,11839.876,11751.276375893967
1998-04-01,11949.492,11869.776404278393
1998-07-01,12099.191,11990.428206739727
1998-10-01,12294.737,12113.249201767345
1999-01-01,12410.778,12238.511791399387
1999-04-01,12514.408,12365.28498989189
1999-07-01,12679.977,12493.703483561078
1999-10-01,12888.281,12624.339767514277
2000-01-01,12935.252,12756.197799291816
2000-04-01,13170.749,12885.54954291904
2000-07-01,13183.89,13010.047124107925
2000-10-01,13262.25,13129.144768063294
2001-01-01,13219.251,13242.626114221135
2001-04-01,13301.394,13350.39977050192
2001-07-01,13248.142,13452.50438953058
2001-10-01,13284.881,13549.578308347607
2002-01-01,13394.91,13642.026653665946
2002-04-01,13477.356,13731.527536916305
2002-07-01,13531.741,13819.421745281745
2002-10-01,13549.421,13906.0730892485
2003-01-01,13619.434,13992.48450484546
2003-04-01,13741.107,14079.71664749195
2003-07-01,13970.157,14166.968380640945
2003-10-01,14131.379,14255.295748528804
2004-01-01,14212.34,14345.471525215591
2004-04-01,14323.017,14436.967695131636
2004-07-01,14457.832,14530.65715477864
2004-10-01,14605.595,14625.540051760048
2005-01-01,14767.846,14718.907157195204
2005-04-01,14839.707,14809.96635559478
2005-07-01,14956.291,14899.764672396344
2005-10-01,15041.232,14987.734747776842
2006-01-01,15244.088,15073.66481705868
2006-04-01,15281.525,15158.023715379784
2006-07-01,15304.517,15239.103339568164
2006-10-01,15433.643,15316.914218297932
2007-01-01,15478.956,15394.59126299462
2007-04-01,15577.779,15472.772148648755
2007-07-01,15671.605,15551.685448278577
2007-10-01,15767.146,15630.164389951682
2008-01-01,15702.906,15707.896436018797
2008-04-01,15792.773,15782.945118773248
2008-07-01,15709.562,15854.479153554395
2008-10-01,15366.607,15921.647052393451
2009-01-01,15187.475,15983.29852270034
2009-04-01,15161.772,16040.702644623096
2009-07-01,15216.647,16094.741671790714
2009-10-01,15379.155,16147.063356892382
2010-01-01,15456.059,16199.710242322297
2010-04-01,15605.628,16253.716157120329
2010-07-01,15726.282,16310.447723810714
2010-10-01,15807.995,16369.305151435134
2011-01-01,15769.911,16430.464766780584
2011-04-01,15876.839,16494.124187380123
2011-07-01,15870.684,16560.109528317294
2011-10-01,16048.702,16627.891653548617
2012-01-01,16179.968,16697.390719924417
2012-04-01,16253.726,16768.971178461616
2012-07-01,16282.151,16842.16031452139
2012-10-01,16300.035,16916.653882648665
2013-01-01,16441.485,16992.571486427674
2013-04-01,16464.402,17069.566062011083
2013-07-01,16594.743,17147.150782277757
2013-10-01,16712.76,17225.802388399334
2014-01-01,16654.247,17305.419454168063
2014-04-01,16868.109,17385.710529393622
2014-07-01,17064.616,17467.54920948041
2014-10-01,17141.235,17550.01479200841
2015-01-01,17280.647,17632.760612537964
2015-04-01,17380.875,17715.60133499204
2015-07-01,17437.08,17797.91133893585
2015-10-01,17462.579,17879.075022707257
2016-01-01,17565.465,17959.52472566844
2016-04-01,17618.581,18039.05855148377
2016-07-01,17724.489,18117.649189862597
2016-10-01,17812.56,18195.876939707825
2017-01-01,17889.094,18274.532822062814
2017-04-01,17979.218,18352.950873578
2017-07-01,18127.994,18433.50352198413
2017-10-01,18310.3,18516.07605146352
2018-01-01,18437.127,18600.54251694602
2018-04-01,18565.697,18687.322097031876
2018-07-01,18699.748,18776.099110468444
2018-10-01,18733.741,18865.37289745312
2019-01-01,18835.411,18954.764599505463
2019-04-01,18962.175,19044.8814602734
2019-07-01,19130.932,19135.419343657588
2019-10-01,19215.691,19225.599085747494
2020-01-01,18989.877,19314.33022856252
2020-04-01,17378.712,19399.659424294787
2020-07-01,18743.72,19477.21428292021
2020-10-01,18924.262,19559.27125986976
2021-01-01,19216.224,19644.49
2021-04-01,19544.248,19732.99
2021-07-01,19672.594,19822.82
2021-10-01,20006.181,19914.29
2022-01-01,19924.088,20005.45
